,field,full_field_name
0,indx,index
1,snglmlt,singlmulti
2,cmnm,comname
3,scnm,sciname
4,spcd,spcode
5,vpcd,vipcode
6,unt,unit
7,sbnt,subunit
8,untnm,unitname
9,sbntnm,subunitnam
10,stts,status
11,ldffc,leadoffice
12,cpffc,coopoffice
13,cpfmr,coopofmore
14,fdrg,fedreg
15,pbdt,pubdate
16,effctdt,effectdate
17,vctdt,vacatedate
18,accrcy,accuracy
19,srcId,source_id
20,objctd,objectid
21,lstngSt,listing_st
22,geometry,geometry
23,lyrNm,layer_name
24,lyrId,layer_id
25,lyrKy,layer_key
26,svcNm,svc_name
27,svcId,svc_id
28,lbl,label
29,ar,area
30,stbck,setback
31,exFrmBldbl,exclude_from_buildable
32,ftrWdth,feature_width
