,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,geometry,geometry
9,acrgClc,acreage_calc
10,acrgDdd,acreage_deeded
11,bldgSqft,bldg_sqft
12,bldblSmAcr,buildable-small-acre
13,bldblSmRel,buildable-small-relative
14,cnssZp,census_zip
15,CountyID,cid
16,cntyNm,county_name
17,crtclHbttJ,critical_habitat_joint
18,crtclHbtt0,critical_habitat_joint-acre
19,elvtn,elevation
20,fldHgh,flood-high
21,fldLw,flood-low
22,fld02,flood_02
23,fld02Acr,flood_02-acre
24,fld1,flood_1
25,fld1Acr,flood_1-acre
26,lstUpdtd,last_updated
27,lglDsc1,legal_desc1
28,mnmdArprt,manmade_airport
29,mnmdArprtA,manmade_airport-acre
30,mnmdBldng,manmade_building
31,mnmdBldngA,manmade_building-acre
32,mnmdOlAndN,manmade_oil_and_natural_gas
33,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
34,mnmdRl,manmade_rail
35,mnmdRd,manmade_road
36,mnmdRdAcr,manmade_road-acre
37,mnmdTrnsms,manmade_transmission
38,mnmdTrnsm0,manmade_transmission-acre
39,mktVlBldg,mkt_val_bldg
40,mktVlLnd,mkt_val_land
41,mktVlTt,mkt_val_tot
42,mnId,muni_id
43,mnNm,muni_name
44,pdUs,pad_us
45,pdUsAcr,pad_us-acre
46,pn,pin
47,rsId,rausa_id
48,rbstId,robust_id
49,slPrc,sale_price
50,schlDstId,school_dist_id
51,slp,slope
52,slpAcr,slope-acre
53,wtlnds,wetlands
54,wtlndsAcr,wetlands-acre
55,cnsrvtnEsm,conservation_easements_layer
56,cnsrvtnEs0,conservation_easements_layer-acre
57,LandUseCde,land-use-code
58,LandUseNm,land-use-name
59,cntyId,county_id
60,fldHghAcr,flood-high-acre
61,fldLwAcr,flood-low-acre
62,mnmdRlAcr,manmade_rail-acre
63,szUnts,size-units
64,trTr,tree_tree
65,trTrAcr,tree_tree-acre
66,acrgAdjcnt,acreage_adjacent_with_sameowner
67,ownrOccpd,owner_occupied
68,uspsRsdntl,usps_residential
